iter	Passed	Remaining
538	17610	15062
539	17634	15021
540	17662	14985
541	17691	14949
542	17724	14917
543	17759	14886
544	17790	14852
545	17817	14815
546	17854	14786
547	17880	14748
548	17920	14721
549	17946	14683
550	17972	14645
551	17997	14606
552	18022	14568
553	18059	14539
554	18120	14528
555	18160	14502
556	18196	14472
557	18226	14437
558	18262	14407
559	18297	14376
560	18323	14338
561	18361	14310
562	18406	14286
563	18445	14259
564	18475	14224
565	18513	14195
566	18557	14171
567	18597	14144
568	18633	14114
569	18663	14079
570	18691	14043
571	18718	14006
572	18746	13970
573	18775	13934
574	18800	13896
575	18834	13864
576	18860	13826
577	18886	13788
578	18911	13750
579	18946	13720
580	18995	13699
581	19033	13669
582	19065	13636
583	19094	13601
584	19121	13564
585	19146	13527
586	19183	13496
587	19209	13459
588	19245	13429
589	19274	13393
590	19298	13355
591	19329	13321
592	19359	13287
593	19388	13251
594	19422	13220
595	19455	13188
596	19484	13152
597	19514	13118
598	19546	13085
599	19583	13055
600	19618	13024
601	19643	12987
602	19677	12954
603	19703	12918
604	19731	12882
605	19765	12850
606	19790	12812
607	19824	12781
608	19847	12742
609	19880	12710
610	19906	12673
611	19935	12638
612	19962	12602
613	19990	12567
614	20030	12539
615	20059	12504
616	20084	12467
617	20112	12431
618	20140	12396
619	20173	12364
620	20212	12335
621	20238	12299
622	20273	12268
623	20298	12231
624	20323	12194
625	20347	12156
626	20372	12119
627	20401	12085
628	20432	12051
629	20459	12016
630	20484	11978
631	20526	11951
632	20565	11923
633	20591	11887
634	20619	11852
635	20645	11815
636	20670	11779
637	20705	11748
638	20746	11720
639	20782	11689
640	20808	11653
641	20837	11619
642	20863	11583
643	20891	11548
644	20920	11514
645	20948	11479
646	20977	11444
647	21003	11409
648	21030	11373
649	21057	11338
650	21084	11303
651	21115	11270
652	21152	11240
653	21180	11205
654	21215	11174
655	21246	11141
656	21268	11103
657	21297	11069
658	21336	11040
659	21360	11004
660	21386	10968
661	21410	10931
662	21435	10895
663	21459	10858
664	21483	10822
665	21516	10790
666	21552	10760
667	21576	10723
668	21614	10694
669	21641	10659
670	21665	10622
671	21698	10591
672	21730	10558
673	21760	10524
